Name,S1,S2,S3,S4,S5,S6,S7,S8
Group,WT,WT,WT,WT,Treatment,Treatment,Treatment,Treatment
"0.88_327.20108_polar",1504,970,1554,1168,882,778,1032,882
"0.88_319.13233_polar",1038,0,586,782,0,778,0,0
"0.88_234.07541_polar",0,546,740,242,1274,1106,1328,1348
"0.89_388.25411_polar",2122,1044,1622,2028,2094,702,924,1432
"0.89_476.30614_polar",1988,1104,1424,2344,2318,1616,838,1230
"0.89_432.28025_polar",1892,1088,1364,2184,2330,1010,1024,1236
"0.89_142.08625_polar",862,1352,922,858,1496,1160,1708,1502
"0.89_176.03736_polar",322,904,740,1170,1322,738,986,702
"0.89_70.06515_polar",1654,1010,860,596,1398,930,1392,1326
"0.89_937.58463_polar",1502,1306,438,1802,1434,2376,1022,866
"0.89_239.10118_polar",720,938,844,990,916,1190,1338,1186
"0.89_86.0962_polar",852,660,552,976,1624,536,1024,832
"0.89_587.28585_polar",4800,14794,7026,7076,20866,11246,13934,5108
"0.89_286.17537_polar",822,676,0,740,1194,712,1024,666
"0.89_120.06545_polar",624,994,1002,754,1456,822,1184,832
"0.89_350.13701_polar",2184,2462,1068,3260,2070,2232,2024,2098
"0.89_182.04808_polar",672,1104,1154,590,1218,678,1138,1054
"0.89_139.05042_polar",594,594,934,1226,556,538,400,454
"0.9_350.16914_polar",504,814,690,722,1096,756,1128,1354
"0.9_231.17029_polar",5074,4112,3900,4168,840,518,844,638
"0.92_217.15463_polar",19808,15716,2418,17406,804,608,722,650
"0.95_346.11322_polar",1886,1312,1050,1026,1788,1038,1586,1278
"0.95_812.5545_polar",0,0,0,0,1886,2826,1180,1258
"0.96_84.04438_polar",750,922,696,1090,1024,1118,1206,1252
"0.97_255.09502_polar",1454,1818,1616,1774,2112,2812,2954,2708
"0.99_352.07212_polar",1440,1260,672,1200,1610,986,1318,792
"1_150.1126_polar",248,114,0,1332,366,620,410,454
"1.02_562.11344_polar",986,0,412,1044,1252,768,966,962
"1.19_368.21968_polar",1280,1282,1384,1128,1212,1326,1390,1216
"1.42_358.83452_polar",730,456,0,0,838,1076,944,924
"1.74_230.00732_polar",0,552,810,670,932,538,852,1140
"2.06_343.22437_polar",1002,0,0,0,0,840,0,0
"2.58_130.15898_polar",3546,2772,3180,3788,3170,3200,4226,2798
"2.71_192.05153_polar",3330,2332,4200,2924,3120,2428,3018,2544
"2.98_194.1175_polar",1840,1660,1702,1746,1794,1272,1572,1676
"3.05_367.04261_polar",1248,1170,772,1340,1018,0,976,1394
"3.19_72.08071_polar",654,786,1284,778,894,1108,1238,1030
"3.25_58.06516_polar",682,0,622,0,0,0,656,1092
"3.29_194.06712_polar",762,494,606,1066,0,562,938,644
"3.32_268.1039_polar",4750,5626,3430,5864,4272,4830,4778,4934
"3.46_402.12761_polar",680,724,524,810,956,912,890,1204
"3.67_86.09637_polar",1846,1748,2772,1818,1620,1794,1754,1192
"3.72_120.08077_polar",1976,1620,3638,1512,2480,2168,2866,2974
"3.73_281.00888_polar",1138,1470,0,832,2330,2354,2618,3144
